order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
1,972,688,67,370.73,1166.08,2022-09-19,3119 Ilene Center,credit card,shipped
2,243,187,1,631.24,155.43,2022-12-25,2 Schlimgen Terrace,credit card,shipped
3,593,6,75,714.41,30.08,2021-12-14,48429 Golden Leaf Circle,Apple Pay,processing
4,558,426,46,29.04,5360.99,2020-01-22,379 Farmco Trail,PayPal,processing
5,158,392,39,864.32,2994.51,2022-03-15,90 Cherokee Lane,credit card,delivered
6,843,919,56,467.31,400.89,2021-09-25,403 Mitchell Park,PayPal,pending
7,451,70,47,711.58,4893.8,2020-08-07,56379 Vahlen Road,PayPal,processing
8,25,355,73,163.95,691.9,2021-02-09,481 Packers Park,Apple Pay,delivered
9,890,925,95,633.59,1381.21,2021-05-27,61392 Moland Pass,PayPal,delivered
10,646,741,7,391.2,2557.24,2020-03-06,72 Carpenter Place,credit card,delivered
11,636,254,62,837.53,8923.89,2021-10-11,51 Vera Hill,Apple Pay,pending
12,223,24,38,14.32,5809.08,2020-06-03,9299 Portage Road,Apple Pay,pending
13,178,559,5,98.73,5170.38,2022-08-12,9641 Memorial Center,credit card,pending
14,30,290,51,119.31,6749.29,2020-05-11,068 Mcguire Center,credit card,processing
15,246,723,27,596.48,5842.88,2021-06-28,17054 Sycamore Road,credit card,shipped
16,630,337,86,617.17,8707.79,2021-11-24,75814 Maryland Parkway,PayPal,shipped
17,4,3,68,159.42,4040.7,2022-02-11,50886 Raven Park,Apple Pay,processing
18,644,936,93,638.64,4126.28,2020-01-20,1088 Dwight Junction,credit card,pending
19,64,576,18,351.11,3525.55,2021-09-19,9733 Pond Pass,PayPal,processing
20,701,134,82,573.55,4151.41,2021-03-16,52332 Acker Court,PayPal,pending
21,938,920,77,120.01,8375.66,2022-10-10,6434 Melody Lane,credit card,pending
22,19,764,40,706.45,6273.19,2021-12-10,92580 North Junction,PayPal,pending
23,311,60,6,613.01,3688.14,2022-11-02,91 Cardinal Hill,PayPal,pending
24,501,770,69,53.0,4406.07,2021-09-25,0415 Stephen Point,PayPal,shipped
25,156,375,56,568.09,4327.39,2020-10-28,5 Anniversary Drive,PayPal,pending
26,29,46,83,661.22,9976.33,2020-05-29,6137 Del Mar Crossing,credit card,delivered
27,208,825,96,301.21,8464.37,2020-10-14,891 Mosinee Hill,Apple Pay,processing
28,315,333,6,479.64,4926.79,2021-11-09,3 Ridge Oak Parkway,Apple Pay,shipped
29,700,493,19,423.29,207.42,2022-07-05,41 Marcy Pass,PayPal,pending
30,266,653,44,84.37,9773.23,2020-10-01,696 Scott Alley,PayPal,pending
31,856,539,40,863.79,6434.31,2020-08-19,12 Melody Road,Apple Pay,delivered
32,658,682,92,41.67,1028.16,2022-08-06,8242 Sunfield Way,Apple Pay,pending
33,956,4,68,160.31,5948.08,2022-10-29,809 Victoria Lane,PayPal,delivered
