product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",163.82,37.33,home decor,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,689,Blue,large,7.9,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,2015-12-27,2.9,239,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,2.3,277,free,33.59
2,est congue elementum in hac habitasse platea dictumst morbi vestibulum,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",518.51,30.0,home decor,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,177,Violet,medium,8.3,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,2022-03-04,2.3,212,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,3.4,780,standard,32.64
3,nulla tellus in sagittis dui vel nisl duis ac nibh,In congue. Etiam justo.,879.85,10.34,electronics,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,846,Purple,extra large,3.5,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,2011-01-15,3.3,316,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,1.9,313,standard,5.21
4,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",820.02,45.75,toys,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,75,Yellow,large,6.1,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,2014-07-25,1.4,947,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,2.0,282,express,42.33
5,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",199.63,9.5,clothing,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,902,Green,large,9.2,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2010-03-21,4.1,273,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,2.9,390,free,28.81
6,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",461.31,45.91,toys,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,668,Crimson,extra large,4.9,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,2017-03-23,4.5,928,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,4.6,868,free,12.3
7,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2.67,36.62,toys,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,321,Khaki,small,9.5,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,2012-06-21,1.3,603,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,4.5,889,standard,48.62
8,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",617.77,43.74,beauty,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,716,Mauv,large,3.2,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,2022-12-03,1.7,952,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,3.7,594,express,1.23
9,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",528.82,20.52,beauty,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,298,Yellow,small,3.6,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,2010-06-10,3.4,500,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,1.8,550,express,8.93
10,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,628.92,38.01,beauty,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,732,Indigo,medium,0.7,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,2014-06-26,2.4,173,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,3.6,183,standard,24.03
